Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
gemma3:4b,Can you explain inflation in simple terms?,519,0.582,0.0244
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,846,0.579,0.0245
gemma3:4b,Can you explain inflation in simple terms?,480,13.346,0.0250
gemma3:4b,How can I start a simple workout routine at home with no equ...,1129,0.541,0.0248
gemma3:4b,How do I negotiate my salary during a job offer?,1205,0.581,0.0249
gemma3:4b,Can you explain inflation in simple terms?,484,27.663,0.0259
gemma3:4b,What's the difference between anxiety and stress?,834,20.465,0.0259
gemma3:4b,What's the difference between anxiety and stress?,859,24.496,0.0259
gemma3:4b,What's the difference between anxiety and stress?,788,29.668,0.0258
gemma3:4b,Can you explain inflation in simple terms?,457,25.251,0.0249
