TimeSeries ID,container/network/received_bytes_count.cloud_run_revision.ALIGN_RATE.REDUCE_NONE.metric.type="run.googleapis.com/container/network/received_bytes_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".+60s.configuration_name:ollama-llama.location:us-central1.project_id:llm-workload-characterization3.revision_name:ollama-llama-00001-k2j.service_name:ollama-llama.kind:google,container/network/received_bytes_count.cloud_run_revision.ALIGN_RATE.REDUCE_NONE.metric.type="run.googleapis.com/container/network/received_bytes_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".+60s.configuration_name:ollama-llama.location:us-central1.project_id:llm-workload-characterization3.revision_name:ollama-llama-00001-k2j.service_name:ollama-llama.kind:internet,container/network/received_bytes_count.cloud_run_revision.ALIGN_RATE.REDUCE_NONE.metric.type="run.googleapis.com/container/network/received_bytes_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".+60s.configuration_name:ollama-llama.location:us-central1.project_id:llm-workload-characterization3.revision_name:ollama-llama-00001-k2j.service_name:ollama-llama.kind:private
kind,google,internet,private
configuration_name,ollama-llama,ollama-llama,ollama-llama
service_name,ollama-llama,ollama-llama,ollama-llama
revision_name,ollama-llama-00001-k2j,ollama-llama-00001-k2j,ollama-llama-00001-k2j
location,us-central1,us-central1,us-central1
project_id,llm-workload-characterization3,llm-workload-characterization3,llm-workload-characterization3
Sun May 25 2025 17:55:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 17:56:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 17:57:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 17:58:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 17:59:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:00:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:01:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:02:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:03:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:04:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:05:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:06:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:07:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:08:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:09:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:10:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:11:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:12:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:13:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:14:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:15:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:16:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:17:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:18:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:19:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:20:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:21:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:22:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:23:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:24:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:25:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:26:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:27:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:28:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:29:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:30:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:31:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:32:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:33:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:34:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:35:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:36:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:37:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:38:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:39:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:40:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:41:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:42:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:43:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:44:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:45:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:46:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:47:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:48:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:49:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:50:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:51:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:52:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:53:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:54:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:55:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:56:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:57:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:58:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:59:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:00:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:01:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:02:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:03:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:04:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:05:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:06:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:07:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:08:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:09:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:10:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:11:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:12:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:13:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:14:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:15:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:16:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:17:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:18:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:19:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:20:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:21:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:22:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:23:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:24:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:25:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:26:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:27:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:28:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:29:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:30:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 19:31:00 GMT+0300 (GMT+03:00),0,0,0
