TimeSeries ID,container/max_request_concurrencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_99.metric.type="run.googleapis.com/container/max_request_concurrencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization2" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization2.service_name:ollama-gemma
project_id,llm-workload-characterization2
service_name,ollama-gemma
Sun May 25 2025 18:19:00 GMT+0300 (GMT+03:00),0.99
Sun May 25 2025 18:20:00 GMT+0300 (GMT+03:00),0.99
Sun May 25 2025 18:21:00 GMT+0300 (GMT+03:00),0.99
Sun May 25 2025 18:22:00 GMT+0300 (GMT+03:00),23.9
Sun May 25 2025 18:23:00 GMT+0300 (GMT+03:00),23.95
Sun May 25 2025 18:24:00 GMT+0300 (GMT+03:00),27.9
Sun May 25 2025 18:25:00 GMT+0300 (GMT+03:00),25.95
Sun May 25 2025 18:26:00 GMT+0300 (GMT+03:00),27.9
Sun May 25 2025 18:27:00 GMT+0300 (GMT+03:00),29.9
Sun May 25 2025 18:28:00 GMT+0300 (GMT+03:00),27.95
Sun May 25 2025 18:29:00 GMT+0300 (GMT+03:00),25.96666666666667
Sun May 25 2025 18:30:00 GMT+0300 (GMT+03:00),27.9
Sun May 25 2025 18:31:00 GMT+0300 (GMT+03:00),29.9
Sun May 25 2025 18:32:00 GMT+0300 (GMT+03:00),27.9
Sun May 25 2025 18:33:00 GMT+0300 (GMT+03:00),29.9
Sun May 25 2025 18:34:00 GMT+0300 (GMT+03:00),31.9
Sun May 25 2025 18:35:00 GMT+0300 (GMT+03:00),29.95
Sun May 25 2025 18:36:00 GMT+0300 (GMT+03:00),31.9
Sun May 25 2025 18:37:00 GMT+0300 (GMT+03:00),31.92
Sun May 25 2025 18:38:00 GMT+0300 (GMT+03:00),33.9
Sun May 25 2025 18:39:00 GMT+0300 (GMT+03:00),31.9
Sun May 25 2025 18:40:00 GMT+0300 (GMT+03:00),31.9
Sun May 25 2025 18:41:00 GMT+0300 (GMT+03:00),29.9
Sun May 25 2025 18:42:00 GMT+0300 (GMT+03:00),29.9
Sun May 25 2025 18:43:00 GMT+0300 (GMT+03:00),27.9
Sun May 25 2025 18:44:00 GMT+0300 (GMT+03:00),27.9
Sun May 25 2025 18:45:00 GMT+0300 (GMT+03:00),29.9
Sun May 25 2025 18:46:00 GMT+0300 (GMT+03:00),29.9
Sun May 25 2025 18:47:00 GMT+0300 (GMT+03:00),29.9
Sun May 25 2025 18:48:00 GMT+0300 (GMT+03:00),29.9
Sun May 25 2025 18:49:00 GMT+0300 (GMT+03:00),33.92
Sun May 25 2025 18:50:00 GMT+0300 (GMT+03:00),33.9
Sun May 25 2025 18:51:00 GMT+0300 (GMT+03:00),35.9
Sun May 25 2025 18:52:00 GMT+0300 (GMT+03:00),37.9
