Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
gemma3:4b,What are some fun icebreaker questions for team meetings?,1034,173.400,0.0201
gemma3:4b,How do I negotiate my salary during a job offer?,1371,164.979,0.0198
gemma3:4b,What are some tips to stay focused while studying?,885,179.919,0.0199
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,834,179.108,0.0190
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,800,185.423,0.0190
gemma3:4b,How can I start a simple workout routine at home with no equ...,991,180.223,0.0200
gemma3:4b,How do I write a professional follow-up email after a job in...,1210,180.211,0.0199
gemma3:4b,How do I write a professional follow-up email after a job in...,1108,183.618,0.0200
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1161,189.462,0.0197
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,827,196.629,0.0197
gemma3:4b,How do I write a professional follow-up email after a job in...,1118,193.987,0.0198
gemma3:4b,How can I start a simple workout routine at home with no equ...,1144,191.273,0.0198
gemma3:4b,How can I start a simple workout routine at home with no equ...,953,194.007,0.0191
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1144,193.965,0.0197
gemma3:4b,What are some fun icebreaker questions for team meetings?,1085,199.675,0.0193
gemma3:4b,How can I start a simple workout routine at home with no equ...,1042,199.115,0.0200
gemma3:4b,How do I write a professional follow-up email after a job in...,1045,203.291,0.0201
gemma3:4b,What's the difference between anxiety and stress?,879,210.373,0.0192
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,777,214.556,0.0191
gemma3:4b,How do I write a professional follow-up email after a job in...,1135,204.834,0.0201
gemma3:4b,How do I write a professional follow-up email after a job in...,1136,211.959,0.0201
gemma3:4b,What are some fun icebreaker questions for team meetings?,1163,214.133,0.0201
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1169,212.242,0.0196
gemma3:4b,How can I start a simple workout routine at home with no equ...,1193,211.987,0.0201
gemma3:4b,Can you explain inflation in simple terms?,493,226.658,0.0202
gemma3:4b,What are some fun icebreaker questions for team meetings?,1182,220.553,0.0196
gemma3:4b,How do I write a professional follow-up email after a job in...,1104,219.031,0.0201
gemma3:4b,Can you explain inflation in simple terms?,540,235.151,0.0196
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1222,222.338,0.0200
gemma3:4b,How do I negotiate my salary during a job offer?,1388,227.309,0.0194
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1286,229.425,0.0194
gemma3:4b,What are some fun icebreaker questions for team meetings?,1015,237.549,0.0200
gemma3:4b,How do I negotiate my salary during a job offer?,1193,234.827,0.0201
gemma3:4b,What are some tips to stay focused while studying?,961,236.652,0.0201
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,819,240.309,0.0201
gemma3:4b,How do I write a professional follow-up email after a job in...,1363,233.956,0.0201
gemma3:4b,What's the difference between anxiety and stress?,857,244.853,0.0201
gemma3:4b,How can I start a simple workout routine at home with no equ...,1059,244.764,0.0192
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,877,254.268,0.0187
gemma3:4b,What are some fun icebreaker questions for team meetings?,983,253.380,0.0188
gemma3:4b,How do I negotiate my salary during a job offer?,1431,242.787,0.0194
gemma3:4b,What's the difference between anxiety and stress?,820,257.788,0.0199
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,799,253.976,0.0197
gemma3:4b,Can you explain inflation in simple terms?,496,264.155,0.0195
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1118,256.954,0.0199
gemma3:4b,Can you explain inflation in simple terms?,539,269.536,0.0189
gemma3:4b,What are some tips to stay focused while studying?,984,261.167,0.0193
