Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,362,9.967,0.0268
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,644,3.531,0.0254
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",301,13.314,0.0267
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,148,19.724,0.0272
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,389,13.709,0.0275
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",283,17.074,0.0276
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,270,18.699,0.0282
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",345,17.068,0.0283
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,449,14.387,0.0281
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,409,16.438,0.0277
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,287,19.971,0.0280
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,460,16.983,0.0277
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,231,23.845,0.0273
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,485,16.829,0.0275
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,573,16.443,0.0274
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,284,23.489,0.0276
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,292,24.988,0.0275
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,243,28.096,0.0248
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,514,21.454,0.0278
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,172,31.278,0.0276
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,393,25.344,0.0253
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,293,30.247,0.0277
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,470,26.066,0.0254
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,292,32.244,0.0276
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,526,25.881,0.0256
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,166,36.118,0.0272
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,335,32.419,0.0271
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,198,36.378,0.0269
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,365,34.181,0.0268
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",315,35.724,0.0262
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,574,29.810,0.0274
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,699,27.885,0.0276
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,367,38.444,0.0254
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,264,41.797,0.0274
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,352,40.375,0.0251
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,290,41.588,0.0286
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,444,39.093,0.0275
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",400,40.444,0.0275
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,674,33.095,0.0281
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,295,44.029,0.0274
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,171,47.854,0.0259
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,457,40.728,0.0254
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,376,44.040,0.0257
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,208,49.290,0.0263
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,226,49.125,0.0271
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,228,51.539,0.0268
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,230,52.431,0.0247
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,186,53.824,0.0242
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,231,52.202,0.0268
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",427,47.236,0.0294
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,240,54.838,0.0242
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",368,52.368,0.0249
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,161,57.751,0.0267
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,356,52.125,0.0293
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,451,51.379,0.0269
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,212,58.398,0.0253
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,251,58.183,0.0252
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,645,45.630,0.0294
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,241,58.482,0.0268
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,460,55.342,0.0268
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,610,49.983,0.0292
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,325,61.620,0.0253
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,285,62.636,0.0286
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,315,63.835,0.0253
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,416,59.875,0.0288
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,310,64.667,0.0284
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,517,60.718,0.0256
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",370,64.594,0.0257
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,397,63.596,0.0267
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,396,65.016,0.0267
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,286,67.887,0.0274
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",354,67.720,0.0269
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,566,62.146,0.0269
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,350,70.872,0.0262
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,355,71.891,0.0268
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,404,70.948,0.0260
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,503,69.912,0.0267
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,239,77.345,0.0277
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,331,74.823,0.0259
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,392,73.056,0.0267
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,320,75.690,0.0277
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,437,74.200,0.0267
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,154,81.530,0.0266
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",336,76.420,0.0278
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",301,80.492,0.0263
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,607,74.271,0.0278
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,229,84.922,0.0263
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,284,83.635,0.0279
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,520,79.136,0.0277
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,392,84.048,0.0280
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",383,83.481,0.0284
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,812,72.558,0.0271
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,464,82.419,0.0263
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,248,88.496,0.0264
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,220,91.662,0.0279
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",414,85.703,0.0293
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,287,91.033,0.0267
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,571,83.626,0.0266
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,489,85.867,0.0280
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,180,94.717,0.0271
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,252,94.451,0.0303
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,262,94.677,0.0303
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",338,94.091,0.0273
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,478,90.233,0.0275
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,377,95.121,0.0274
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",296,99.643,0.0266
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,297,99.678,0.0276
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,337,98.881,0.0277
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,481,93.628,0.0304
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",242,102.176,0.0298
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",285,103.397,0.0268
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,495,97.885,0.0269
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,497,97.918,0.0294
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,340,102.697,0.0288
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,345,103.458,0.0269
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",332,105.529,0.0277
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",274,107.577,0.0270
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,589,98.778,0.0277
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,321,107.961,0.0278
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,359,108.273,0.0278
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,316,111.117,0.0273
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,386,109.465,0.0274
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,288,112.584,0.0275
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,351,112.581,0.0275
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,562,108.321,0.0275
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,312,115.183,0.0280
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,448,112.825,0.0269
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,360,114.820,0.0280
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,303,118.352,0.0274
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,454,115.079,0.0269
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,242,120.586,0.0280
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",384,116.968,0.0274
