Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
llama3:8b,Can you explain inflation in simple terms?,382,3.594,0.0330
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,414,3.546,0.0309
llama3:8b,Can you explain inflation in simple terms?,449,3.547,0.0315
llama3:8b,What are some fun icebreaker questions for team meetings?,447,3.723,0.0328
llama3:8b,How do I write a professional follow-up email after a job in...,486,3.544,0.0308
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,488,3.543,0.0315
llama3:8b,How do I write a professional follow-up email after a job in...,511,3.543,0.0316
llama3:8b,How do I write a professional follow-up email after a job in...,526,3.584,0.0309
llama3:8b,What are some tips to stay focused while studying?,562,3.549,0.0332
llama3:8b,How do I negotiate my salary during a job offer?,583,3.551,0.0333
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,804,3.551,0.0320
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,818,3.545,0.0317
llama3:8b,What are some fun icebreaker questions for team meetings?,391,18.598,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,361,19.797,0.0328
llama3:8b,How can I start a simple workout routine at home with no equ...,485,16.269,0.0332
llama3:8b,How do I write a professional follow-up email after a job in...,566,16.433,0.0329
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,554,17.694,0.0331
llama3:8b,Can you explain inflation in simple terms?,433,23.039,0.0328
llama3:8b,What are some tips to stay focused while studying?,473,22.237,0.0328
llama3:8b,What are some tips to stay focused while studying?,539,19.916,0.0333
llama3:8b,Can you summarize the key points of the book Atomic Habits?,639,18.484,0.0330
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,719,19.031,0.0333
llama3:8b,Can you explain inflation in simple terms?,420,29.584,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,516,29.403,0.0335
llama3:8b,What are some fun icebreaker questions for team meetings?,463,31.692,0.0334
llama3:8b,What's the difference between anxiety and stress?,500,31.523,0.0326
llama3:8b,What are some fun icebreaker questions for team meetings?,417,35.146,0.0323
llama3:8b,What's the difference between anxiety and stress?,456,37.338,0.0333
llama3:8b,What's the difference between anxiety and stress?,326,43.088,0.0324
llama3:8b,How do I write a professional follow-up email after a job in...,522,37.855,0.0332
llama3:8b,How do I write a professional follow-up email after a job in...,562,37.926,0.0321
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,711,32.412,0.0331
llama3:8b,What's the difference between anxiety and stress?,387,43.487,0.0323
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,548,39.703,0.0332
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,303,55.991,0.0322
