Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",326,3.800,0.0238
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,387,8.671,0.0220
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,426,12.262,0.0244
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,290,17.253,0.0259
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,542,0.365,0.0222
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,547,6.169,0.0251
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,343,8.321,0.0254
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,394,15.891,0.0259
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,345,4.844,0.0254
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,428,5.628,0.0256
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,465,6.846,0.0256
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,405,21.781,0.0275
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,141,12.818,0.0263
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,480,23.862,0.0277
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,470,25.031,0.0277
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,473,12.681,0.0265
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,550,25.207,0.0276
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",318,32.018,0.0276
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,510,13.645,0.0270
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,372,16.603,0.0272
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,701,11.090,0.0268
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,302,36.238,0.0277
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,257,40.897,0.0279
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,197,17.701,0.0282
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,352,39.482,0.0280
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,453,20.664,0.0286
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,525,37.091,0.0280
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,423,18.628,0.0290
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,223,14.516,0.0291
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,444,18.966,0.0291
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,454,44.363,0.0275
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,260,50.867,0.0266
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,306,6.973,0.0278
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,466,47.161,0.0271
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,213,0.244,0.0266
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",136,0.285,0.0257
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,559,48.418,0.0271
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,365,10.775,0.0263
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",281,56.885,0.0273
